Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region
6164,20242336,6031,149000,apartment,1.0,60.0,0,0,1,,,0,As new,2483.3333333333335,Wallonia
5742,20229186,7911,148000,apartment,1.0,66.0,1,0,1,,,0,As new,2242.4242424242425,Wallonia
3378,20233112,7800,147500,house,2.0,135.0,0,0,1,,,0,To renovate,1092.5925925925926,Wallonia
1804,20185898,4101,146000,house,2.0,98.0,1,0,1,,,0,To be done up,1489.795918367347,Wallonia
3100,11472859,5580,146000,house,2.0,109.0,1,0,1,,194.0,0,To be done up,1339.4495412844037,Wallonia
717,20163448,6800,145000,house,2.0,100.0,0,0,1,15.0,100.0,0,To renovate,1450.0,Wallonia
4970,20196224,7912,145000,house,3.0,137.0,0,0,1,,,0,Just renovated,1058.3941605839416,Wallonia
3460,20137279,6042,145000,house,3.0,105.0,0,0,1,140.0,,0,Good,1380.952380952381,Wallonia
9286,20006301,1348,145000,apartment,1.0,29.0,0,0,1,,,0,Good,5000.0,Wallonia
4371,11457351,7320,145000,house,2.0,127.0,0,0,1,,617.0,0,Good,1141.732283464567,Wallonia
3462,20225498,5620,145000,house,2.0,55.0,0,1,1,14.0,3294.0,0,Good,2636.3636363636365,Wallonia
585,20236276,4683,145000,house,1.0,65.0,1,0,1,35.0,330.0,0,Good,2230.769230769231,Wallonia
9445,11460976,4020,145000,apartment,2.0,81.0,0,0,1,,,0,To renovate,1790.1234567901236,Wallonia
380,20232146,5630,145000,house,4.0,147.0,0,0,1,,,0,To renovate,986.3945578231293,Wallonia
9771,20016883,4020,144900,apartment,2.0,106.0,0,0,1,,,0,Good,1366.9811320754718,Wallonia
5788,20115396,4690,144000,apartment,2.0,90.0,0,0,1,,,0,Good,1600.0,Wallonia
3427,20098718,5630,140000,house,2.0,66.0,0,0,1,,,0,Good,2121.212121212121,Wallonia
2211,20230888,7950,140000,house,1.0,89.0,1,0,1,,,0,Good,1573.0337078651685,Wallonia
7683,20234177,4430,140000,apartment,1.0,68.0,0,0,1,,,0,To be done up,2058.823529411765,Wallonia
3695,20245174,7390,140000,house,3.0,186.0,0,0,1,,90.0,0,To renovate,752.6881720430108,Wallonia
4218,20200317,4032,140000,house,3.0,140.0,0,0,1,,40.0,0,To renovate,1000.0,Wallonia
1559,20244855,5540,140000,house,1.0,42.0,0,0,1,22.0,255.0,0,Good,3333.3333333333335,Wallonia
6424,20123941,1300,140000,apartment,1.0,55.0,0,0,1,,,0,Good,2545.4545454545455,Wallonia
7863,20210792,7140,140000,apartment,2.0,78.0,0,0,1,3.0,,0,As new,1794.871794871795,Wallonia
9680,20200362,4500,139500,apartment,1.0,60.0,1,0,1,,,0,Good,2325.0,Wallonia
6926,20237271,7000,139000,apartment,2.0,72.0,1,0,1,,,0,Good,1930.5555555555557,Wallonia
6209,20243277,5500,139000,apartment,1.0,66.0,0,0,1,,,0,Just renovated,2106.060606060606,Wallonia
10462,20213932,4020,139000,apartment,1.0,54.0,0,0,1,,,0,As new,2574.074074074074,Wallonia
141,20233144,4680,139000,house,2.0,122.0,0,0,1,,15.0,0,To renovate,1139.344262295082,Wallonia
9285,20135925,4500,139000,apartment,1.0,57.0,1,0,1,,,0,Good,2438.59649122807,Wallonia
681,20213623,4020,139000,house,5.0,135.0,0,0,1,64.0,,0,To renovate,1029.6296296296296,Wallonia
7541,20231417,6041,139000,apartment,1.0,75.0,1,0,1,,,0,As new,1853.3333333333333,Wallonia
5096,11307348,4102,139000,house,2.0,89.0,0,0,1,28.0,,0,Good,1561.7977528089887,Wallonia
5898,20218757,4671,139000,apartment,1.0,126.0,1,0,1,18.0,65.0,0,Good,1103.1746031746031,Wallonia
5097,20074493,4420,139000,house,3.0,116.0,0,0,1,30.0,130.0,0,Good,1198.2758620689656,Wallonia
